철도운영기관명,선명,역명,지번주소,도로명주소,Latitude,Longitude
부산교통공사,2호선,감전(사상구청),부산광역시 사상구 감전동 174,부산광역시 사상구 사상로 지하 93-1,35.1684987,128.9890649
부산교통공사,2호선,개금,부산광역시 부산진구 개금동 487-2,부산광역시 부산진구 가야대로 지하 442,35.1550054,129.037536
부산교통공사,2호선,경성대·부경대(동명대학교),부산광역시 남구 대연동 77,부산광역시 남구 수영로 지하 324,35.1373574,129.0880956
부산교통공사,2호선,광안,부산광역시 수영구 광안동 205,부산광역시 수영구 수영로 지하 576(광안동),35.149633,129.111073
부산교통공사,2호선,구남,부산광역시 북구 구포동 897-21,부산광역시 북구 백양대로 지하1026,35.2020364,128.9996992
부산교통공사,2호선,구명,부산광역시 북구 구포동 969-1,부산광역시 북구 백양대로 지하1094,35.2020364,128.9996992
부산교통공사,2호선,국제금융센터·부산은행,부산광역시 남구 문현동 728-3,부산광역시 남구 전포대로 지하 97,35.1429158,129.0670119
부산교통공사,2호선,금곡,부산광역시 북구 금곡동 581-1,부산광역시 북구 금곡대로 685,35.2675783,129.0169958
부산교통공사,2호선,금련산,부산광역시 수영구 남천동 78,부산광역시 수영구 수영로 지하 482(남천동),35.1441426,129.1096811
부산교통공사,2호선,남양산(범어),경상남도 양산시 동면 석산리 1265-1,경남 양산시 동면 메기로 380번,35.3249066,129.0192821
부산교통공사,2호선,남천(KBS·수영구청),부산광역시 수영구 남천동 78,부산광역시 수영구 수영로 지하 410(남천동),35.1441426,129.1096811
부산교통공사,2호선,냉정,부산광역시 사상구 주례동 62-2,부산광역시 사상구 가야대로 지하 362-1,35.1508539,128.9946548
부산교통공사,2호선,대연(고려병원),부산광역시 남구 대연동 1756-27,부산광역시 남구 수영로 지하 242,35.1373574,129.0880956
부산교통공사,2호선,덕천(부산과기대),부산광역시 북구 덕천동 327,부산광역시 북구 금곡대로 지하14,35.2406378,129.0122022
부산교통공사,2호선,덕포,부산광역시 사상구 덕포동 430,부산광역시 사상구 사상로 지하 320-1,35.1684987,128.9890649
부산교통공사,2호선,동백,부산광역시 해운대구 우동 991-3,부산광역시 해운대구 해운대로 지하 522,35.1822879,129.1610253
부산교통공사,2호선,동원,부산광역시 북구 금곡동 846-1,부산광역시 북구 금곡대로 575,35.2586285,129.0125393
부산교통공사,2호선,동의대,부산광역시 부산진구 가야동 236-4,부산광역시 부산진구 가야대로 지하 554,35.1550054,129.037536
부산교통공사,2호선,모덕,부산광역시 사상구 덕포동 247-7,부산광역시 사상구 사상로 지하 409,35.1684987,128.9890649
부산교통공사,2호선,모라,부산광역시 사상구 모라동 987-8,부산광역시 사상구 사상로 지하 498,35.1684987,128.9890649
부산교통공사,2호선,못골(남구청),부산광역시 남구 대연동 1756-27,부산광역시 남구 수영로 지하 170,35.1373574,129.0880956
부산교통공사,2호선,문현,부산광역시 남구 문현동 651-1,부산광역시 남구 전포대로 지하 17,35.1429158,129.0670119
부산교통공사,2호선,민락,부산광역시 수영구 민락동 345-1,부산광역시 수영구 수영로 지하 769(수영동),35.1703559,129.1168872
부산교통공사,2호선,벡스코(시립미술관),부산광역시 해운대구 우동 1086-3,부산광역시 해운대구 해운대로 지하 396,35.1822879,129.1610253
부산교통공사,2호선,부산대양산캠퍼스,경상남도 양산시 물금읍 범어리 2635,경남 양산시 물금읍 메기로 270번,35.3174877,129.0145555
부산교통공사,2호선,부암(온종합병원),부산광역시 부산진구 부전동 368-12,부산광역시 부산진구 가야대로 지하 719,35.1550054,129.037536
부산교통공사,2호선,사상(서부터미널),부산광역시 사상구 괘법동 572-1,부산광역시 사상구 사상로 지하 203,35.1684987,128.9890649
부산교통공사,2호선,서면,부산광역시 부산진구 부전동 573-1,부산광역시 부산진구 중앙대로 지하 730,35.1605219,129.064458
부산교통공사,2호선,센텀시티(BEXCO·신세계),부산광역시 해운대구 우동 1524,부산광역시 센텀남대로 지하 76,35.1682991,129.1302235
부산교통공사,2호선,수영,부산광역시 수영구 광안동 1091-1,부산광역시 수영구 수영로 지하 677(광안동),35.149633,129.111073
부산교통공사,2호선,수정(방송통신대),부산광역시 북구 화명동 941-1,부산광역시 북구 금곡대로 지하160,35.2406378,129.0122022
부산교통공사,2호선,양산(시청·동원과학기술대학교),경상남도 양산시 중부동 475-1,경남 양산시 강변로 441번,35.33425,129.0257869
부산교통공사,2호선,율리,부산광역시 북구 금곡동 1241,부산광역시 북구 금곡대로 지하440,35.2406378,129.0122022
부산교통공사,2호선,장산(해운대백병원),부산광역시 해운대구 좌동 1491,부산광역시 해운대구 해운대로 지하 820,35.1822879,129.1610253
부산교통공사,2호선,전포,부산광역시 부산진구 전포동 870-1,부산광역시 부산진구 전포대로 지하 181,35.1550032,129.0657183
부산교통공사,2호선,주례,부산광역시 사상구 주례동 1162-16,부산광역시 사상구 가야대로 지하 292,35.1508539,128.9946548
부산교통공사,2호선,중동,부산광역시 해운대구 중동 1783-1,부산광역시 해운대구 해운대로 지하 730,35.1822879,129.1610253
부산교통공사,2호선,증산,경상남도 양산시 물금읍 증산리 35-6,경남 양산시 물금읍 메기로 168번,35.3092224,129.0107754
부산교통공사,2호선,지게골,부산광역시 남구 문현동 254-2,부산광역시 남구 수영로 지하 70,35.1373574,129.0880956
부산교통공사,2호선,해운대,부산광역시 해운대구 우동 656,부산광역시 해운대구 해운대로 지하 626,35.1822879,129.1610253
부산교통공사,2호선,호포,경상남도 양산시 동면 가산리 산 91-5,경남 양산시 동면 양산대로 62번,35.2798961,129.0181251
부산교통공사,2호선,화명,부산광역시 북구 화명동 1458-9,부산광역시 북구 금곡대로 지하311,35.2406378,129.0122022
부산교통공사,3호선,강서구청,부산광역시 강서구 대저1동 2300-3,부산광역시 강서구 낙동북로 485,35.2113221,128.9809638
부산교통공사,3호선,거제(법원·검찰청),부산광역시 연제구 거제동 1190-1,부산광역시 연제구 월드컵대로 지하 209,35.184388,129.0713427
부산교통공사,3호선,구포,부산광역시 북구 구포동 1060-470,부산광역시 북구 낙동대로 1697,35.207777,128.9986911
부산교통공사,3호선,남산정(부산폴리텍대학),부산광역시 북구 만덕동 706-6,부산광역시 북구 만덕대로 지하179,35.2123675,129.0228269
부산교통공사,3호선,대저,부산광역시 강서구 대저1동 1500-2,부산광역시 강서구 낙동북로 295,35.2131814,128.9626963
부산교통공사,3호선,덕천(부산과기대),부산광역시 북구 덕천동 327,부산광역시 북구 금곡대로 지하14,35.2406378,129.0122022
부산교통공사,3호선,만덕,부산광역시 북구 만덕동 607-1,부산광역시 북구 만덕대로 지하291,35.2123675,129.0228269
부산교통공사,3호선,망미(병무청),부산광역시 수영구 망미동 603-2,부산광역시 수영구 연수로 지하 337(망미동),35.1712993,129.1063192
부산교통공사,3호선,물만골,부산광역시 연제구 연산동 1515-11,부산광역시 연제구 월드컵대로 지하 23,35.184388,129.0713427
부산교통공사,3호선,미남,부산광역시 동래구 온천동 1470,부산광역시 동래구 아시아드대로 지하 232,35.2014163,129.0677828
