노선번호,노선ID,버스종류,기점,종점,첫차,막차,기본배차,평일배차,출퇴근배차,휴일배차
남구2,5290702000,마을버스,오륙도선착장,구.외국어대,05:30,22:57,15,10-13,15,15-20
남구3,5290703000,마을버스,못골시장,범일역,06:00,23:20,9,9,10,9
남구5,5290705000,마을버스,남구종합사회복지관,범일역,06:00,22:40,13,13,17,13
남구6,5290706000,마을버스,유창그린아파트,못골시장,06:00,23:40,8,8,8,8
남구8,5290708000,마을버스,용호벽산아파트,수영구청.금호어울림,05:50,23:00,15,20~30,20~30,30~35
남구9,5290709000,마을버스,경동아파트,마마빌라,05:50,23:00,12,17~30,17~30,25~30
동구1,5290301000,마을버스,안창마을,범내골역,05:20,23:40,7,7,7,7
동구1-1,5290301100,마을버스,안창마을,남해지방해양경찰청,05:20,23:15,10,10,10,10
동구2,5290302000,마을버스,수정아파트,동구청.우체국,05:52,23:45,6,6,5,6
동래구1,5290601000,마을버스,롯데백화점(동래점),세웅병원,06:30,23:00,10,12,15,15
동래구1-1,5290601100,마을버스,온천장역,동래구청,06:30,23:00,,20,20,30
동래구2,5290602000,마을버스,남일중학교,동래역,06:30,23:00,10,12,10,12
동래구3,5290603000,마을버스,금정마을,동래구청,06:15,23:00,10,10,10,10
동래구5,5290605000,마을버스,달북마을,동래역,06:00,23:35,10,8,12,8
동래구6,5290606000,마을버스,센텀트루엘아파트,동래역,06:30,23:00,12,14,12,12
동래구6-1,5290606100,마을버스,센텀롯데캐슬2차아파트,동래역,06:30,23:00,14,14,14,14
동래구7,5290607000,마을버스,롯데백화점(동래점),센텀SK뷰아파트,06:40,23:00,10,13,10,13
동래구8,5290608000,마을버스,사직여자중학교,동래역,06:05,23:40,10,10-15,10,10
부산진구10,5290510000,마을버스,부산백병원,개금삼거리,07:00,18:20,16~17,7,4,4
부산진구10-1,5290510100,마을버스,동남여객,구덕대림아파트,06:00,22:04,26 ,,,
부산진구11,5290511000,마을버스,이마트연제점,부전시장,06:00,22:30,15,20,20,25
부산진구12,5290512000,마을버스,부산여대,서면역,06:00,23:20,8~9,25,25,25
부산진구12-1,5290512100,마을버스,부산여대,서면역,,,,11,11,11
부산진구13,5290513000,마을버스,청구화인아파트,부전시장,05:57,22:50,8,10,11,10
부산진구15,5290515000,마을버스,원당골(대우아파트),롯데호텔백화점.서면역,06:00,22:00,10 ,,,
부산진구17,5290517000,마을버스,초읍대진아파트,동래지하철역,06:00,23:20,15,15,13,13
부산진구2,5290502000,마을버스,부전역,대산아파트,06:00,23:06,5,5,8,5
부산진구6,5290506000,마을버스,동의대본관,가야1치안센터,07:00,23:00,10 ,6,6,6
부산진구6-1,5290506100,마을버스,동의대본관,동의대역,07:00,23:00,5 ,5,5,6
부산진구7,5290507000,마을버스,동의과학대학교,양정역,07:00,17:00,15,20,20,25
부산진구8,5290508000,마을버스,동의의료원,양정역,06:00,21:30,15,25,25,25
부산진구9,5290509000,마을버스,동의대본관,신주례LG아파트,06:00,22:50,8 ,10,10,13
북구1-1,5290801100,마을버스,만덕고등학교,덕천교차로,05:30,23:20,0,7,7,7
북구2,5290802000,마을버스,구포시장,만덕동일아파트,06:00,23:00,12 ,22,17,22
북구3,5290803000,마을버스,금곡동,구포시장,05:30,22:55,0,6,6,6
북구6,5290806000,마을버스,북구청,부산과학기술대학교,05:50,23:05,7 ,7,7,7
북구7,5290807000,마을버스,화명유림아파트,구포시장,06:00,22:55,5,6,6,6
북구8,5290808000,마을버스,만덕한신아파트,만덕역,06:00,23:00,0,21,21,21
북구8-1,5290808100,마을버스,구포시장,그린코아아파트,06:00,23:00,0,30,30,30
북구8-2,5290808200,마을버스,만덕역,그린코아아파트,06:00,23:00,,15,15,15
북구9,5290809000,마을버스,만덕고등학교,만덕역,06:00,23:00,13 ,12,12,12
사상구1-1,5291501100,마을버스,괘법르네시떼역.르네시떼,모라벽산아파트,06:00,22:50,10,15,12,15
사상구2,5291502000,마을버스,주례역,주례여자고등학교,06:28,23:10,10,15,12,15-25
사상구2-1,5291502100,마을버스,주례역,주례청구아파트,06:20,23:05,25,15,15,30
사상구2-2,5291502200,마을버스,주례역,신주례LG아파트,06:35,23:00,10,20,15,20
사상구3,5291503000,마을버스,현대무지개아파트,주례벽산아파트,06:00,23:30,8,10,10,15
사상구3-1,5291503100,마을버스,현대무지개아파트,동양아파트,06:00,22:15,,30,30,30
사상구5,5291505000,마을버스,동서대학교,냉정역,06:30,22:10,10,10,10,12
사상구5-1,5291505100,마을버스,냉정역,동서대학교,06:30,22:10,10,8,8,10
사상구5-2,5291505200,마을버스,주례사거리,냉정역,06:30,22:10,30,25,25,25
사상구6,5291506000,마을버스,좋은삼선병원,부경대용당캠퍼스,05:00,21:40,7,12,10,13
사상구7,5291507000,마을버스,괘법르네시떼역.르네시떼,모라주공아파트,06:10,21:33,12,13,13,18
사상구8-1,5291508100,마을버스,개금현대.반도보라아파트,개금삼거리.개금골목시장,06:00,21:40,,16,16,16
사하구1,5291001000,마을버스,괴정초등학교,감천문화마을.부산교육역사관,06:10,23:30,10,10,10,10
사하구1-1,5291001100,마을버스,정원사 참누리아파트,서구청,06:10,23:30,7 ,,,
사하구10,5291010000,마을버스,하단역,동아대학교승학캠퍼스,07:00,23:00,10,10,10,15
사하구14,5291014000,마을버스,구평방파제,까치고개,05:30,22:40,15 ,,,
사하구15,5291015000,마을버스,다대롯데캐슬몰운대A,괴정초등학교,05:20,23:00,12,13,12,20
사하구2,5291002000,마을버스,동원베네스트아파트,사하역,06:20,23:20,20,20,25,25
사하구2-1,5291002100,마을버스,동원베네스트아파트,당리역,06:35,23:20,13,13,17,13
사하구2-2,5291002200,마을버스,괴정역,괴정자유3차아파트,10:00,23:15,25,25,25,25
사하구3,5291003000,마을버스,구평자유아파트,천우슈퍼,06:00,22:30,15,15,20,20
사하구3-1,5291003100,마을버스,다대롯데캐슬몰운대A,신평역,06:30,23:00,,,,
사하구3-2,5291003200,마을버스,경동메르빌아파트,협성르네상스아파트,06:20,21:00,,22,20,20
사하구5,5291005000,마을버스,다대롯데캐슬몰운대A,괴정초등학교,05:40,22:40,17 ,20,20,20
사하구6,5291006000,마을버스,다대코오롱아파트,신평역,05:10,22:53,12 ,,,
사하구8,5291008000,마을버스,다대코오롱아파트,괴정초등학교,05:05,22:50,18 ,,,
사하구9,5291009000,마을버스,장림동원로얄듀크아파트,신평한신아파트,06:10,23:00,10,10,20,10
서구1,5290201000,마을버스,구덕꽃마을,동대신역,06:00,22:50,10,10,10,10
서구2,5290202000,마을버스,감천문화마을.부산교육역사관,충무동교차로,05:40,23:12,0,11,11,11
서구2-2,5290202200,마을버스,대한수산,부산역,06:00,22:08,35,20-25,20-25,20-25
